university;user_id;user_name;number_tweets;friends_count;followers_count;created_at
uvalpochile;1183020785033760773;dvm_ucsc;462;712;578;"Sat Oct 12 14:05:55 +0000 2019"
uvalpochile;1362565116462592002;JuanPabloEspej7;6445;1475;59;"Fri Feb 19 00:51:06 +0000 2021"
uvalpochile;1397133652547543045;Toms69247294;0;112;4;"Tue May 25 10:13:27 +0000 2021"
uvalpochile;3238342316;MEscobar135;58;499;7;"Sun Jun 07 01:06:04 +0000 2015"
uvalpochile;2819836654;ZvezdaCalavera;18;98;9;"Thu Oct 09 15:32:30 +0000 2014"
uvalpochile;1354905937857949699;renormalizado;0;63;0;"Thu Jan 28 21:36:07 +0000 2021"
uvalpochile;1396712583160373248;Issugov;1;80;0;"Mon May 24 06:20:13 +0000 2021"
uvalpochile;3079262957;yubiyubiperez;248;470;25;"Sun Mar 08 12:50:11 +0000 2015"
uvalpochile;821050530466328577;IDCRCh;227;1178;145;"Mon Jan 16 17:44:35 +0000 2017"
uvalpochile;715534473828413440;edhebettcarrasc;1;68;11;"Thu Mar 31 13:41:27 +0000 2016"
uvalpochile;154278608;Ximena_Navarro;1336;2200;58;"Thu Jun 10 21:01:00 +0000 2010"
uvalpochile;1178520164020752384;Aloh22832433;49;141;15;"Mon Sep 30 04:01:30 +0000 2019"
uvalpochile;2305449602;nanigofi;232;69;7;"Wed Jan 22 20:51:49 +0000 2014"
uvalpochile;535718287;escaluga;166;15;2;"Sat Mar 24 21:17:46 +0000 2012"
uvalpochile;1395866228351279107;CamilaU96502174;0;25;0;"Fri May 21 22:17:09 +0000 2021"
uvalpochile;1395846148414447619;Hardyojeda11;0;134;1;"Fri May 21 20:59:58 +0000 2021"
uvalpochile;1395823648859172871;ZenithNr;54;488;86;"Fri May 21 19:29:02 +0000 2021"
uvalpochile;154940705;pascalosa;382;804;165;"Sat Jun 12 17:03:35 +0000 2010"
uvalpochile;1394889334159982595;RPucv;2;63;5;"Wed May 19 05:42:40 +0000 2021"
uvalpochile;3158019028;mariaconsuelogl;0;230;22;"Sat Apr 11 23:33:07 +0000 2015"
uvalpochile;1014175539572236289;ptilogistica;1503;997;849;"Tue Jul 03 15:54:25 +0000 2018"
uvalpochile;446317822;corajesalvador;1320;1145;44;"Sun Dec 25 15:31:35 +0000 2011"
uvalpochile;1168352734371823618;bibbrm;3068;506;203;"Mon Sep 02 02:39:45 +0000 2019"
